Well,Experiment,Condition,Treatments,Rep,pH,Time,OD,Inulin,Starch,Pectin,ArGal,Gum,AmAc,BHabs,BTabs,BPabs,FPabs,ERabs,BAabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,RIabs,CSabs,EHabs
1,REU04,BH,REU04_BH,1,1,24.0044444,0.000567,0,1,0,0,0,1,0.000551966,2.15E-06,4.3E-06,0,2.15E-06,0,0,0,0,0,0,0,0,0,0
2,REU04,BP,REU04_BP,1,1,24.0044444,0.002267,0,1,0,0,0,1,0,0,0.002214279,0,0,0,0,0,0,0,0,0,0,0,0
3,REU04,BT,REU04_BT,1,1,24.0044444,0.001367,0,1,0,0,0,1,0,0.001363812,0,0,0,0,0,0,0,0,0,0,0,0,0
4,REU04,ER,REU04_ER,1,1,24.0044444,-0.01003,0,1,0,0,0,1,0,0,-6.15E-06,0,-0.009968542,0,0,0,0,0,0,0,0,0,0
5,REU04,FP,REU04_FP,1,1,24.0044444,0.001467,0,1,0,0,0,1,0,4.13E-05,0,0.001198394,2.07E-05,0,0,0,0,0,0,0,0,0,0
6,REU04,BH-BP,REU04_BH-BP,1,1,24.0044444,0.003067,0,1,0,0,0,1,0.000941356,0,0.002004178,0,0,0,0,0,0,0,0,0,0,0,0
7,REU04,BH-BT,REU04_BH-BT,1,1,24.0044444,0.013367,0,1,0,0,0,1,3.86E-05,0.013316821,3.86E-06,0,0,0,0,0,0,0,0,0,0,0,0
8,REU04,BH-ER,REU04_BH-ER,1,1,24.0044444,-0.00723,0,1,0,0,0,1,-0.000269714,-5.65E-05,0,0,-0.006895471,0,0,0,0,0,0,0,0,0,0
9,REU04,BH,REU04_BH,2,1,24.0044444,0.008367,0,1,0,0,0,1,0.007182991,0,3.95E-05,0,0,0,0,0,0,0,0,0,0,0,0
10,REU04,BP,REU04_BP,2,1,24.0044444,0.000967,0,1,0,0,0,1,0,2.39E-06,0.000955062,0,0,0,0,0,0,0,0,0,0,0,0
11,REU04,BT,REU04_BT,2,1,24.0044444,0.004267,0,1,0,0,0,1,1.41E-06,0.004250118,1.41E-06,0,0,0,0,0,0,0,0,0,0,0,0
12,REU04,ER,REU04_ER,2,1,24.0044444,-0.00683,0,1,0,0,0,1,0,0,0,0,-0.006815543,0,0,0,0,0,0,0,0,0,0
13,REU04,FP,REU04_FP,2,1,24.0044444,0.001767,0,1,0,0,0,1,0,2.69E-05,0,0.001713183,0,0,0,0,0,0,0,0,0,0,0
14,REU04,BH-BP,REU04_BH-BP,2,1,24.0044444,0.004367,0,1,0,0,0,1,0.001294453,1.42E-05,0.002944524,0,0,0,0,0,0,0,0,0,0,0,0
15,REU04,BH-BT,REU04_BH-BT,2,1,24.0044444,0.018167,0,1,0,0,0,1,6.71E-05,0.018089168,9.73E-07,0,0,0,0,0,0,0,0,0,0,0,0
16,REU04,BH-ER,REU04_BH-ER,2,1,24.0044444,-0.00713,0,1,0,0,0,1,-0.000337679,0,-1.66E-05,0,-0.006764643,0,0,0,0,0,0,0,0,0,0
17,REU04,BH,REU04_BH,3,1,24.0044444,0.001167,0,1,0,0,0,1,0.001076485,9.7E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
18,REU04,BP,REU04_BP,3,1,24.0044444,0.003667,0,1,0,0,0,1,0,2.7E-05,0.003599592,0,1.35E-05,0,0,0,0,0,0,0,0,0,0
19,REU04,BT,REU04_BT,3,1,24.0044444,0.002867,0,1,0,0,0,1,0,0.002861099,7.38E-07,0,0,0,0,0,0,0,0,0,0,0,0
20,REU04,ER,REU04_ER,3,1,24.0044444,-0.00933,0,1,0,0,0,1,0,-6.51E-06,-2.17E-06,0,-0.009303945,0,0,0,0,0,0,0,0,0,0
21,REU04,FP,REU04_FP,3,1,24.0044444,0.003367,0,1,0,0,0,1,1.58E-05,3.16E-05,0,0.00317731,0,0,0,0,0,0,0,0,0,0,0
22,REU04,BH-BP,REU04_BH-BP,3,1,24.0044444,0.004467,0,1,0,0,0,1,0.001310034,3.22E-05,0.003028111,0,0,0,0,0,0,0,0,0,0,0,0
23,REU04,BH-BT,REU04_BH-BT,3,1,24.0044444,0.013667,0,1,0,0,0,1,9.46E-05,0.013565844,1.47E-06,0,0,0,0,0,0,0,0,0,0,0,0
24,REU04,BH-ER,REU04_BH-ER,3,1,24.0044444,-0.00933,0,1,0,0,0,1,-0.000438775,-9.64E-06,-4.82E-06,0,-0.008828543,0,0,0,0,0,0,0,0,0,0
25,REU04,BH-FP,REU04_BH-FP,1,1,24.0044444,-0.00173,0,1,0,0,0,1,-0.000479246,-6.29E-06,-1.57E-06,-0.001202044,0,0,0,0,0,0,0,0,0,0,0
26,REU04,BP-BT,REU04_BP-BT,1,1,24.0044444,0.002467,0,1,0,0,0,1,0,0.002334079,0.000130681,0,0,0,0,0,0,0,0,0,0,0,0
27,REU04,BP-ER,REU04_BP-ER,1,1,24.0044444,-0.01543,0,1,0,0,0,1,0,-3.46E-06,-0.011602162,-1.15E-06,-0.003801344,0,0,0,0,0,0,0,0,0,0
28,REU04,BP-FP,REU04_BP-FP,1,1,24.0044444,-0.00083,0,1,0,0,0,1,0,0,-0.000576455,-0.000248282,-1.44E-06,0,0,0,0,0,0,0,0,0,0
29,REU04,BT-ER,REU04_BT-ER,1,1,24.0044444,0.227067,0,1,0,0,0,1,0,0.226836987,0,0,0.000148395,0,0,0,0,0,0,0,0,0,0
30,REU04,BT-FP,REU04_BT-FP,1,1,24.0044444,0.061667,0,1,0,0,0,1,0,0.06153491,2.36E-06,0.000106143,0,0,0,0,0,0,0,0,0,0,0
31,REU04,ER-FP,REU04_ER-FP,1,1,24.0044444,-0.01213,0,1,0,0,0,1,0,-1.3E-05,-2.16E-06,-0.001418017,-0.010683839,0,0,0,0,0,0,0,0,0,0
32,REU04,BH-BP-BT,REU04_BH-BP-BT,1,1,24.0044444,0.036667,0,1,0,0,0,1,4.47E-05,0.036075761,0.000532319,0,0,0,0,0,0,0,0,0,0,0,0
33,REU04,BH-FP,REU04_BH-FP,2,1,24.0044444,0.001767,0,1,0,0,0,1,0.000427134,5.97E-06,1.19E-06,0.001288562,0,0,0,0,0,0,0,0,0,0,0
34,REU04,BP-BT,REU04_BP-BT,2,1,24.0044444,0.004567,0,1,0,0,0,1,0,0.004380231,0.000184138,0,0,0,0,0,0,0,0,0,0,0,0
35,REU04,BP-ER,REU04_BP-ER,2,1,24.0044444,-0.00993,0,1,0,0,0,1,0,-4.07E-06,-0.006835728,0,-0.003075548,0,0,0,0,0,0,0,0,0,0
36,REU04,BP-FP,REU04_BP-FP,2,1,24.0044444,0.002167,0,1,0,0,0,1,0,7.16E-07,0.001552969,0.000604728,7.16E-07,0,0,0,0,0,0,0,0,0,0
37,REU04,BT-ER,REU04_BT-ER,2,1,24.0044444,0.233467,0,1,0,0,0,1,0,0.233160982,8.27E-06,0,0.000190227,0,0,0,0,0,0,0,0,0,0
38,REU04,BT-FP,REU04_BT-FP,2,1,24.0044444,0.080167,0,1,0,0,0,1,0,0.07998434,0,0.000125253,0,0,0,0,0,0,0,0,0,0,0
39,REU04,ER-FP,REU04_ER-FP,2,1,24.0044444,-0.00953,0,1,0,0,0,1,0,-2E-05,-2.66E-06,-0.00142058,-0.008068148,0,0,0,0,0,0,0,0,0,0
40,REU04,BH-BP-BT,REU04_BH-BP-BT,2,1,24.0044444,0.036567,0,1,0,0,0,1,6.4E-05,0.035752771,0.000734272,0,1.33E-06,0,0,0,0,0,0,0,0,0,0
41,REU04,BH-FP,REU04_BH-FP,3,1,24.0044444,0.000367,0,1,0,0,0,1,0.000120753,1.26E-06,3.16E-07,0.000233287,0,0,0,0,0,0,0,0,0,0,0
42,REU04,BP-BT,REU04_BP-BT,3,1,24.0044444,0.004367,0,1,0,0,0,1,0,0.004198069,0.000165387,0,1.18E-06,0,0,0,0,0,0,0,0,0,0
43,REU04,BP-ER,REU04_BP-ER,3,1,24.0044444,-0.01153,0,1,0,0,0,1,0,-0.000417349,-0.007630794,0,-0.003462386,0,0,0,0,0,0,0,0,0,0
44,REU04,BP-FP,REU04_BP-FP,3,1,24.0044444,0.001667,0,1,0,0,0,1,0,0.000264198,0.00095997,0.000432324,2.25E-06,0,0,0,0,0,0,0,0,0,0
45,REU04,BT-ER,REU04_BT-ER,3,1,24.0044444,0.227067,0,1,0,0,0,1,0,0.226899182,0,0,6.18E-05,0,0,0,0,0,0,0,0,0,0
46,REU04,BT-FP,REU04_BT-FP,3,1,24.0044444,0.081767,0,1,0,0,0,1,0,0.08158633,1.22E-05,0.000134737,0,0,0,0,0,0,0,0,0,0,0
47,REU04,ER-FP,REU04_ER-FP,3,1,24.0044444,-0.00753,0,1,0,0,0,1,0,-4.7E-06,-3.13E-06,-0.000996272,-0.00651963,0,0,0,0,0,0,0,0,0,0
48,REU04,BH-BP-BT,REU04_BH-BP-BT,3,1,24.0044444,0.035767,0,1,0,0,0,1,6.48E-05,0.03500793,0.000681311,0,3.7E-06,0,0,0,0,0,0,0,0,0,0
49,REU04,BH-BP-ER,REU04_BH-BP-ER,1,1,24.0044444,-0.00573,0,1,0,0,0,1,-3.47E-05,-8.42E-07,-0.005316818,-2.11E-07,-0.000366641,0,0,0,0,0,0,0,0,0,0
50,REU04,BH-BP-FP,REU04_BH-BP-FP,1,1,24.0044444,0.000767,0,1,0,0,0,1,0.000125786,2.21E-06,0.000368759,0.000267541,0,0,0,0,0,0,0,0,0,0,0
51,REU04,BH-BT-ER,REU04_BH-BT-ER,1,1,24.0044444,0.423967,0,1,0,0,0,1,0.0004386,0.393039033,0.000159491,0,0.029851402,0,0,0,0,0,0,0,0,0,0
52,REU04,BH-BT-FP,REU04_BH-BT-FP,1,1,24.0044444,0.520967,0,1,0,0,0,1,0.001387421,0.518856556,0.000136788,0.000214953,0,0,0,0,0,0,0,0,0,0,0
53,REU04,BH-ER-FP,REU04_BH-ER-FP,1,1,24.0044444,-0.01193,0,1,0,0,0,1,-0.000544722,-4.55E-05,-3.23E-05,-0.001374374,-0.009915129,0,0,0,0,0,0,0,0,0,0
54,REU04,BP-BT-ER,REU04_BP-BT-ER,1,1,24.0044444,0.358567,0,1,0,0,0,1,0,0.059984687,0.297762123,0,0.000155171,0,0,0,0,0,0,0,0,0,0
55,REU04,BP-BT-FP,REU04_BP-BT-FP,1,1,24.0044444,0.141267,0,1,0,0,0,1,0,0.113137338,0.027875313,9.97E-05,0,0,0,0,0,0,0,0,0,0,0
56,REU04,BP-ER-FP,REU04_BP-ER-FP,1,1,24.0044444,0.003367,0,1,0,0,0,1,0,1.96E-05,0.003227971,1.69E-05,9.98E-05,0,0,0,0,0,0,0,0,0,0
57,REU04,BH-BP-ER,REU04_BH-BP-ER,2,1,24.0044444,-0.00873,0,1,0,0,0,1,-6.66E-05,-1.07E-06,-0.008189524,0,-0.000457381,0,0,0,0,0,0,0,0,0,0
58,REU04,BH-BP-FP,REU04_BH-BP-FP,2,1,24.0044444,0.000967,0,1,0,0,0,1,0.000248988,1.16E-06,0.000466129,0.000246672,0,0,0,0,0,0,0,0,0,0,0
59,REU04,BH-BT-ER,REU04_BH-BT-ER,2,1,24.0044444,0.435167,0,1,0,0,0,1,0.000479617,0.417506808,0.000171292,0,0.016752345,0,0,0,0,0,0,0,0,0,0
60,REU04,BH-BT-FP,REU04_BH-BT-FP,2,1,24.0044444,0.509967,0,1,0,0,0,1,0.000956086,0.508637807,4.66E-05,0.000116596,2.33E-05,0,0,0,0,0,0,0,0,0,0
61,REU04,BH-ER-FP,REU04_BH-ER-FP,2,1,24.0044444,-0.01153,0,1,0,0,0,1,-0.001054581,-2.64E-05,-2.26E-05,-0.001185304,-0.009226011,0,0,0,0,0,0,0,0,0,0
62,REU04,BP-BT-ER,REU04_BP-BT-ER,2,1,24.0044444,0.455567,0,1,0,0,0,1,1.71E-05,0.07088691,0.383738128,0,0.000239772,0,0,0,0,0,0,0,0,0,0
63,REU04,BP-BT-FP,REU04_BP-BT-FP,2,1,24.0044444,0.217567,0,1,0,0,0,1,0,0.155890299,0.061474825,5.57E-05,0,0,0,0,0,0,0,0,0,0,0
64,REU04,BP-ER-FP,REU04_BP-ER-FP,2,1,24.0044444,-0.00433,0,1,0,0,0,1,0,-5.27E-07,-0.004075056,-3.59E-05,-0.000215384,0,0,0,0,0,0,0,0,0,0
65,REU04,BH-BP-ER,REU04_BH-BP-ER,3,1,24.0044444,0.010967,0,1,0,0,0,1,7E-05,3.72E-06,0.010385257,0,0.000488813,0,0,0,0,0,0,0,0,0,0
66,REU04,BH-BP-FP,REU04_BH-BP-FP,3,1,24.0044444,0.001067,0,1,0,0,0,1,0.000223726,3.13E-06,0.000427113,0.000408339,0,0,0,0,0,0,0,0,0,0,0
67,REU04,BH-BT-ER,REU04_BH-BT-ER,3,1,24.0044444,0.308067,0,1,0,0,0,1,0.000167494,0.306224567,0.000106587,0,0.001309498,0,0,0,0,0,0,0,0,0,0
68,REU04,BH-BT-FP,REU04_BH-BT-FP,3,1,24.0044444,0.377967,0,1,0,0,0,1,0.000409476,0.377188995,2.05E-05,0.000143317,0,0,0,0,0,0,0,0,0,0,0
69,REU04,BH-ER-FP,REU04_BH-ER-FP,3,1,24.0044444,-0.01113,0,1,0,0,0,1,-0.000591839,-5.62E-05,-1.71E-05,-0.001335307,-0.009114812,0,0,0,0,0,0,0,0,0,0
70,REU04,BP-BT-ER,REU04_BP-BT-ER,3,1,24.0044444,0.436667,0,1,0,0,0,1,0,0.085369088,0.350551244,0,5.74E-05,0,0,0,0,0,0,0,0,0,0
71,REU04,BP-BT-FP,REU04_BP-BT-FP,3,1,24.0044444,0.239967,0,1,0,0,0,1,0,0.184561966,0.055196783,7.29E-05,0,0,0,0,0,0,0,0,0,0,0
72,REU04,BP-ER-FP,REU04_BP-ER-FP,3,1,24.0044444,-0.00203,0,1,0,0,0,1,0,-2.56E-07,-0.001970078,-8.55E-06,-4.96E-05,0,0,0,0,0,0,0,0,0,0
73,REU04,BT-ER-FP,REU04_BT-ER-FP,1,1,24.0044444,0.310467,0,1,0,0,0,1,0,0.309313893,9.84E-05,0.000126561,0.000660927,0,0,0,0,0,0,0,0,0,0
74,REU04,BH-BP-BT-ER,REU04_BH-BP-BT-ER,1,1,24.0044444,0.287267,0,1,0,0,0,1,3.13E-05,0.043512655,0.243003047,0,8.35E-05,0,0,0,0,0,0,0,0,0,0
75,REU04,BH-BP-BT-FP,REU04_BH-BP-BT-FP,1,1,24.0044444,0.270167,0,1,0,0,0,1,0.000104247,0.149271542,0.120238701,3.13E-05,0,0,0,0,0,0,0,0,0,0,0
76,REU04,BH-BP-ER-FP,REU04_BH-BP-ER-FP,1,1,24.0044444,0.130967,0,1,0,0,0,1,3.06E-05,8.74E-06,0.130215195,0.000113645,0.000384644,0,0,0,0,0,0,0,0,0,0
77,REU04,BH-BT-ER-FP,REU04_BH-BT-ER-FP,1,1,24.0044444,0.504367,0,1,0,0,0,1,0.000764489,0.46478997,7.84E-05,0.000215625,0.038244074,0,0,0,0,0,0,0,0,0,0
78,REU04,BP-BT-ER-FP,REU04_BP-BT-ER-FP,1,1,24.0044444,0.348367,0,1,0,0,0,1,0,0.055591065,0.291797995,6.89E-05,0.000206607,0,0,0,0,0,0,0,0,0,0
79,REU04,BH-BP-BT-ER-FP,REU04_BH-BP-BT-ER-FP,1,1,24.0044444,0.422967,0,1,0,0,0,1,8.59E-05,0.051443592,0.368650425,4.91E-05,0.002332764,0,0,0,0,0,0,0,0,0,0
81,REU04,BT-ER-FP,REU04_BT-ER-FP,2,1,24.0044444,0.321367,0,1,0,0,0,1,0,0.320314424,6.82E-05,0.000185175,0.000487304,0,0,0,0,0,0,0,0,0,0
82,REU04,BH-BP-BT-ER,REU04_BH-BP-BT-ER,2,1,24.0044444,0.484067,0,1,0,0,0,1,1.91E-05,0.073230012,0.409633364,1.91E-05,0.000171946,0,0,0,0,0,0,0,0,0,0
83,REU04,BH-BP-BT-FP,REU04_BH-BP-BT-FP,2,1,24.0044444,0.325867,0,1,0,0,0,1,0.000145045,0.222329288,0.102860837,3.63E-05,2.42E-05,0,0,0,0,0,0,0,0,0,0
84,REU04,BH-BP-ER-FP,REU04_BH-BP-ER-FP,2,1,24.0044444,0.122267,0,1,0,0,0,1,4.69E-05,3.96E-05,0.121376803,9.37E-05,0.000511773,0,0,0,0,0,0,0,0,0,0
85,REU04,BH-BT-ER-FP,REU04_BH-BT-ER-FP,2,1,24.0044444,0.547867,0,1,0,0,0,1,0.000283017,0.511127912,8.84E-05,0.000159197,0.036013858,0,0,0,0,0,0,0,0,0,0
86,REU04,BP-BT-ER-FP,REU04_BP-BT-ER-FP,2,1,24.0044444,0.412167,0,1,0,0,0,1,0,0.075468471,0.335507556,0.000105529,0.000346739,0,0,0,0,0,0,0,0,0,0
87,REU04,BH-BP-BT-ER-FP,REU04_BH-BP-BT-ER-FP,2,1,24.0044444,0.338767,0,1,0,0,0,1,9.49E-05,0.04278481,0.29308328,3.45E-05,0.002329481,0,0,0,0,0,0,0,0,0,0
89,REU04,BT-ER-FP,REU04_BT-ER-FP,3,1,24.0044444,0.318167,0,1,0,0,0,1,0,0.309905477,6.56E-05,0.000163919,0.007769766,0,0,0,0,0,0,0,0,0,0
90,REU04,BH-BP-BT-ER,REU04_BH-BP-BT-ER,3,1,24.0044444,0.477967,0,1,0,0,0,1,8.35E-05,0.090593824,0.386433406,0,0.000125303,0,0,0,0,0,0,0,0,0,0
91,REU04,BH-BP-BT-FP,REU04_BH-BP-BT-FP,3,1,24.0044444,0.218267,0,1,0,0,0,1,0.00013222,0.151873637,0.065930593,5.67E-05,9.44E-06,0,0,0,0,0,0,0,0,0,0
92,REU04,BH-BP-ER-FP,REU04_BH-BP-ER-FP,3,1,24.0044444,0.133767,0,1,0,0,0,1,7.05E-05,2.71E-05,0.132925971,8.68E-05,0.000455783,0,0,0,0,0,0,0,0,0,0
93,REU04,BH-BT-ER-FP,REU04_BH-BT-ER-FP,3,1,24.0044444,0.478067,0,1,0,0,0,1,0.000551989,0.457312198,8.83E-05,4.42E-05,0.019893699,0,0,0,0,0,0,0,0,0,0
94,REU04,BP-BT-ER-FP,REU04_BP-BT-ER-FP,3,1,24.0044444,0.423067,0,1,0,0,0,1,0,0.057326946,0.364763445,7.81E-05,0.000253918,0,0,0,0,0,0,0,0,0,0
95,REU04,BH-BP-BT-ER-FP,REU04_BH-BP-BT-ER-FP,3,1,24.0044444,0.454567,0,1,0,0,0,1,0.000121012,0.05065871,0.40195697,9.08E-05,0.001361387,0,0,0,0,0,0,0,0,0,0
