Var1,Well,Experiment,Condition,Treatments,Rep,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,Time,OD
0,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,0,0.015266667
1,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,2.000277778,0.0136
2,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,4.000277778,0.011333333
3,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,6.000833333,0.011733333
4,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,8.001111111,0.011066667
5,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,10.00166667,0.006533333
6,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,12.00222222,0.006833333
7,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,14.00277778,0.006466667
8,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,16.00277778,0.0056
9,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,18.00388889,0.009433333
10,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,20.00361111,0.013533333
11,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,22.00444444,0.0114
12,1,REU04,BH,REU04_BH,1,0,1,0,0,0,1,1,24.00444444,0.014933333
13,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,0,0.004866667
14,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,2.000277778,0.00637648
15,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,4.000277778,0.005888413
16,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,6.000833333,0.00631262
17,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,8.001111111,0.005934027
18,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,10.00166667,0.005368417
19,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,12.00222222,0.005108419
20,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,14.00277778,0.005359294
21,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,16.00277778,0.004994385
22,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,18.00388889,0.005313681
23,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,20.00361111,0.006805248
24,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,22.00444444,0.006390164
25,2,REU04,BP,REU04_BP,1,0,1,0,0,0,1,1,24.00444444,0.007133667
26,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,0,0.009766667
27,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,2.000277778,0.011756105
28,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,4.000277778,0.011240033
29,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,6.000833333,0.011890047
30,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,8.001111111,0.011645799
31,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,10.00166667,0.010779113
32,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,12.00222222,0.010554563
33,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,14.00277778,0.010794871
34,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,16.00277778,0.010018793
35,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,18.00388889,0.010495471
36,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,20.00361111,0.010991845
37,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,22.00444444,0.010739719
38,3,REU04,BT,REU04_BT,1,0,1,0,0,0,1,1,24.00444444,0.011133667
39,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,0,0.012466667
40,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,2.000277778,0.0275
41,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,4.000277778,0.017433333
42,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,6.000833333,0.019433333
43,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,8.001111111,0.025466667
44,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,10.00166667,0.012733333
45,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,12.00222222,0.007733333
46,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,14.00277778,0.006366667
47,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,16.00277778,0.0037
48,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,18.00388889,0.010733333
49,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,20.00361111,0.011333333
50,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,22.00444444,0.0135
51,4,REU04,ER,REU04_ER,1,0,1,0,0,0,1,1,24.00444444,0.019633333
52,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,0,0.010666667
53,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,2.000277778,0.011677638
54,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,4.000277778,0.011208763
55,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,6.000833333,0.011397597
56,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,8.001111111,0.012319932
57,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,10.00166667,0.011170225
58,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,12.00222222,0.011097004
59,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,14.00277778,0.011052043
60,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,16.00277778,0.010876055
61,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,18.00388889,0.011574871
62,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,20.00361111,0.011682776
63,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,22.00444444,0.011758567
64,5,REU04,FP,REU04_FP,1,0,1,0,0,0,1,1,24.00444444,0.012133667
65,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,0,0.008566667
66,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,2.000277778,0.010031588
67,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,4.000277778,0.009039099
68,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,6.000833333,0.00928484
69,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,8.001111111,0.01174987
70,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,10.00166667,0.009021954
71,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,12.00222222,0.008953375
72,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,14.00277778,0.008898131
73,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,16.00277778,0.00866001
74,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,18.00388889,0.010387817
75,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,20.00361111,0.010616413
76,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,22.00444444,0.01082596
77,6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,24.00444444,0.011633667
78,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,0,0.011766667
79,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,2.000277778,0.018067142
80,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,4.000277778,0.015408175
81,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,6.000833333,0.016324103
82,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,8.001111111,0.023806959
83,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,10.00166667,0.01564132
84,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,12.00222222,0.015274949
85,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,14.00277778,0.015030702
86,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,16.00277778,0.013770606
87,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,18.00388889,0.020520719
88,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,20.00361111,0.021336728
89,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,22.00444444,0.022163839
90,7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,24.00444444,0.025133667
91,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,0,0.019266667
92,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,2.000277778,0.017033361
93,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,4.000277778,0.019323151
94,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,6.000833333,0.018606234
95,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,8.001111111,0.011458788
96,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,10.00166667,0.020053103
97,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,12.00222222,0.020405044
98,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,14.00277778,0.020700501
99,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,16.00277778,0.021569491
100,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,18.00388889,0.014643638
101,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,20.00361111,0.014565429
102,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,22.00444444,0.013005591
103,8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,24.00444444,0.012036667
104,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,0,0.004866667
105,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,2.000277778,0.012494626
106,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,4.000277778,0.009828799
107,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,6.000833333,0.009512067
108,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,8.001111111,0.013260061
109,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,10.00166667,0.004761089
110,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,12.00222222,0.006028017
111,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,14.00277778,0.004074837
112,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,16.00277778,0.002517572
113,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,18.00388889,0.005790468
114,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,20.00361111,0.011254093
115,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,22.00444444,0.007743648
116,9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,24.00444444,0.013233667
117,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,0,0.004366667
118,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,2.000277778,0.0131
119,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,4.000277778,0.008233333
120,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,6.000833333,0.010033333
121,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,8.001111111,0.009566667
122,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,10.00166667,0.005633333
123,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,12.00222222,0.005733333
124,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,14.00277778,0.006166667
125,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,16.00277778,0.0045
126,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,18.00388889,0.007933333
127,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,20.00361111,0.007333333
128,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,22.00444444,0.009
129,10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,24.00444444,0.008633333
130,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,0,0.003566667
131,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,2.000277778,0.008840035
132,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,4.000277778,0.007809514
133,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,6.000833333,0.008582404
134,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,8.001111111,0.008083246
135,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,10.00166667,0.006553567
136,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,12.00222222,0.006505261
137,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,14.00277778,0.006827299
138,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,16.00277778,0.005990001
139,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,18.00388889,0.006336191
140,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,20.00361111,0.00701247
141,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,22.00444444,0.007415018
142,11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,24.00444444,0.007833667
143,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,0,-0.000133333
144,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,2.000277778,0.0204
145,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,4.000277778,0.009233333
146,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,6.000833333,0.008833333
147,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,8.001111111,0.017066667
148,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,10.00166667,0.005633333
149,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,12.00222222,0.000133333
150,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,14.00277778,-0.000533333
151,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,16.00277778,-0.0015
152,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,18.00388889,0.002633333
153,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,20.00361111,0.002933333
154,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,22.00444444,0.0072
155,12,REU04,ER,REU04_ER,2,0,1,0,0,0,1,1,24.00444444,0.009533333
156,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,0,0.002366667
157,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,2.000277778,0.003719789
158,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,4.000277778,0.003231076
159,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,6.000833333,0.003331873
160,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,8.001111111,0.004364278
161,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,10.00166667,0.003263148
162,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,12.00222222,0.003116534
163,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,14.00277778,0.003067663
164,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,16.00277778,0.00295923
165,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,18.00388889,0.003473905
166,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,20.00361111,0.003538049
167,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,22.00444444,0.003770187
168,13,REU04,FP,REU04_FP,2,0,1,0,0,0,1,1,24.00444444,0.004133667
169,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,0,0.003166667
170,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,2.000277778,0.005592488
171,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,4.000277778,0.004320951
172,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,6.000833333,0.004391303
173,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,8.001111111,0.007825495
174,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,10.00166667,0.004133347
175,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,12.00222222,0.004055179
176,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,14.00277778,0.003932716
177,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,16.00277778,0.003646099
178,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,18.00388889,0.005696713
179,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,20.00361111,0.006001569
180,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,22.00444444,0.00664776
181,14,REU04,BH-BP,REU04_BH-BP,2,0,1,0,0,0,1,1,24.00444444,0.007533667
182,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,0,0.009066667
183,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,2.000277778,0.016187963
184,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,4.000277778,0.012984079
185,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,6.000833333,0.01346676
186,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,8.001111111,0.023673019
187,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,10.00166667,0.012564356
188,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,12.00222222,0.012501398
189,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,14.00277778,0.01225656
190,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,16.00277778,0.011067345
191,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,18.00388889,0.019762602
192,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,20.00361111,0.02074895
193,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,22.00444444,0.023805931
194,15,REU04,BH-BT,REU04_BH-BT,2,0,1,0,0,0,1,1,24.00444444,0.027233667
195,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,0,0.014866667
196,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,2.000277778,0.013447821
197,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,4.000277778,0.016088782
198,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,6.000833333,0.01573109
199,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,8.001111111,0.006747051
200,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,10.00166667,0.017072436
201,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,12.00222222,0.017287051
202,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,14.00277778,0.017603013
203,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,16.00277778,0.018223013
204,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,18.00388889,0.011492436
205,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,20.00361111,0.011098974
206,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,22.00444444,0.009262821
207,16,REU04,BH-ER,REU04_BH-ER,2,0,1,0,0,0,1,1,24.00444444,0.007736667
208,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,0,0.011066667
209,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,2.000277778,0.0079
210,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,4.000277778,0.004333333
211,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,6.000833333,0.005133333
212,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,8.001111111,0.010066667
213,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,10.00166667,0.001533333
214,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,12.00222222,0.003533333
215,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,14.00277778,0.003466667
216,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,16.00277778,0.0032
217,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,18.00388889,0.004733333
218,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,20.00361111,0.005633333
219,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,22.00444444,0.008
220,17,REU04,BH,REU04_BH,3,0,1,0,0,0,1,1,24.00444444,0.010433333
221,18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,0,0.005966667
222,18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,2.000277778,0.0122
223,18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,4.000277778,0.009333333
224,18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,6.000833333,0.010033333
225,18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,8.001111111,0.011866667
226,18,REU04,BP,REU04_BP,3,0,1,0,0,0,1,1,10.00166667,0.008733333
